[0.000000] (-) TimerEvent: {}
[0.000749] (-) JobUnselected: {'identifier': 'ackermann_steering_controller'}
[0.000811] (-) JobUnselected: {'identifier': 'admittance_controller'}
[0.000829] (-) JobUnselected: {'identifier': 'bicycle_steering_controller'}
[0.000843] (-) JobUnselected: {'identifier': 'controller_interface'}
[0.000855] (-) JobUnselected: {'identifier': 'controller_manager_msgs'}
[0.000868] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.000880] (-) JobUnselected: {'identifier': 'effort_controllers'}
[0.000893] (-) JobUnselected: {'identifier': 'force_torque_sensor_broadcaster'}
[0.000905] (-) JobUnselected: {'identifier': 'forward_command_controller'}
[0.000918] (-) JobUnselected: {'identifier': 'gpio_controllers'}
[0.000930] (-) JobUnselected: {'identifier': 'gripper_controllers'}
[0.000942] (-) JobUnselected: {'identifier': 'hardware_interface'}
[0.000955] (-) JobUnselected: {'identifier': 'hardware_interface_testing'}
[0.000967] (-) JobUnselected: {'identifier': 'imu_sensor_broadcaster'}
[0.000979] (-) JobUnselected: {'identifier': 'joint_limits'}
[0.000992] (-) JobUnselected: {'identifier': 'joint_state_broadcaster'}
[0.001004] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.001016] (-) JobUnselected: {'identifier': 'libserial_vendor'}
[0.001028] (-) JobUnselected: {'identifier': 'mecanum_drive_controller'}
[0.001041] (-) JobUnselected: {'identifier': 'pid_controller'}
[0.001053] (-) JobUnselected: {'identifier': 'pose_broadcaster'}
[0.001066] (-) JobUnselected: {'identifier': 'position_controllers'}
[0.001078] (-) JobUnselected: {'identifier': 'range_sensor_broadcaster'}
[0.001090] (-) JobUnselected: {'identifier': 'ros2_control'}
[0.001102] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.001114] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.001126] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.001138] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.001150] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.001163] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_13'}
[0.001175] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.001187] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_15'}
[0.001199] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.001211] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.001223] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.001235] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.001252] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.001443] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.001465] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.001480] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.001493] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.001506] (-) JobUnselected: {'identifier': 'ros2_control_test_assets'}
[0.001518] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.001531] (-) JobUnselected: {'identifier': 'ros2_controllers_test_nodes'}
[0.001543] (-) JobUnselected: {'identifier': 'ros2controlcli'}
[0.001556] (-) JobUnselected: {'identifier': 'rqt_controller_manager'}
[0.001568] (-) JobUnselected: {'identifier': 'rqt_joint_trajectory_controller'}
[0.001580] (-) JobUnselected: {'identifier': 'steering_controllers_library'}
[0.001592] (-) JobUnselected: {'identifier': 'temp_teleop'}
[0.001604] (-) JobUnselected: {'identifier': 'transmission_interface'}
[0.001616] (-) JobUnselected: {'identifier': 'tricycle_controller'}
[0.001628] (-) JobUnselected: {'identifier': 'tricycle_steering_controller'}
[0.001640] (-) JobUnselected: {'identifier': 'velocity_controllers'}
[0.001653] (race_it) JobQueued: {'identifier': 'race_it', 'dependencies': OrderedDict([('libserial_vendor', '/home/farah/ws_farah/install/libserial_vendor'), ('ros2_control_test_assets', '/home/farah/ws_farah/install/ros2_control_test_assets'), ('hardware_interface', '/home/farah/ws_farah/install/hardware_interface'), ('controller_interface', '/home/farah/ws_farah/install/controller_interface')])}
[0.001681] (race_it) JobStarted: {'identifier': 'race_it'}
[0.013153] (race_it) JobEnded: {'identifier': 'race_it', 'rc': 1}
[0.024136] (-) EventReactorShutdown: {}
